scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,50,-254579.75,-151162.40000000002,-0.0380529533833065,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,50,90662.5,-29888.599999999955,0.0324415158332908,2,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,50,-125527.5,-67828.59999999995,-0.0324415158332908,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,50,-333643.0,-253690.75,-0.0331003767551581,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,50,110828.0,117287.80000000002,0.0313041132003729,2,3,11,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,50,-421441.25,-260014.2499999999,-0.0231214539041141,1,3,10,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,100,-379373.25,-349145.34999999986,-0.0653897762577366,1,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,100,344546.75,251774.6500000001,0.0653897762577366,2,3,22,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,100,-434114.0,-346675.9999999999,-0.0690326291785144,1,3,10,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,100,399536.0,249824.0000000001,0.0690326291785144,2,3,20,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,100,78724.0,39304.40000000014,0.0247034734190404,2,3,18,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,100,-321847.25,-225696.65,-0.0233217049668085,1,3,10,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,100,222167.75,326578.05000000005,0.039979467876762,2,3,15,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,200,-1555705.5,-1207338.2000000002,-0.0980439080109707,0,3,9,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,200,1521704.5,1112031.7999999996,0.0980439080109707,3,3,20,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,200,-1767703.0,-1297327.55,-0.1028232525314724,0,3,8,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,200,1733817.0,1202552.45,0.1028232525314724,3,3,21,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,200,1515020.25,1094938.15,0.1010536614373189,3,3,21,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,200,-1623765.5,-1222174.1499999997,-0.094151265093434,1,3,9,29,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,200,418509.25,271782.3499999997,0.0791836040728025,2,3,20,29,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,500,-911764.25,-830655.5500000005,-0.1279290647695003,1,3,7,26,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,500,879755.75,741004.4499999995,0.1279290647695003,2,3,19,26,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,500,-574000.25,-734692.0500000005,-0.126310769036591,1,3,8,27,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,500,542209.75,645397.9499999996,0.126310769036591,2,3,19,27,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,500,1932811.5,1130497.7999999996,0.0880100453377047,2,3,20,28,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,500,-1201728.25,-979191.1000000004,-0.0825832763739422,1,3,7,25,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,500,2183201.25,1467826.1999999993,0.1225840978534437,3,3,20,25,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,category_mean_reversion,category/basket,1,-14457.75,-44584.35,0.0110052696738975,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,category_median_reversion,category/basket,1,-17158.5,-44111.55,0.0115149122518486,0,2,1,9,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,semantic_curve_residual,semantic/name-curve,1,-14457.75,-44584.35,0.0110052696738975,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,basket_residual,category/basket,1,-14457.75,-44584.35,0.0110052696738975,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,pca_factor_residual,factor/research-only,1,-14457.75,-44584.35,0.0110052696738975,0,2,1,8,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,order_book_imbalance,microstructure,1,28082.5,22794.5,0.0524246889771767,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,microprice_edge,microstructure,1,28082.5,22794.5,0.051060620128034,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,spread_depth_imbalance,microstructure,1,28082.5,22794.5,0.0522497609405274,3,3,29,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_BLACK_HOLES,lead-lag,1,-25406.75,-53095.5,-0.004846160334385,0,3,10,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_PLANETARY_RINGS,lead-lag,1,-23390.5,-58970.2,-0.0032328567564054,0,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_WINDS,lead-lag,1,-45763.25,-61556.65,-0.0164313392434491,0,3,4,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,lead_lag_from:GALAXY_SOUNDS_SOLAR_FLAMES,lead-lag,1,-23982.75,-52091.09999999999,-0.0075065042670108,0,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,1,-38517.25,-69137.6,-0.016677724008802,0,3,5,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,1,-1337.25,-44707.6,0.016677724008802,2,3,15,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,1,-41179.5,-62555.0,-0.0155937075182053,0,3,3,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,1,2010.5,-47065.0,0.0155937075182053,2,3,17,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,1,0.0,0.0,0.0,0,0,0,0,0
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,1,-38517.25,-69137.6,-0.0166997961665193,0,3,5,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,1,-1337.25,-44707.6,0.0166997961665193,2,3,15,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,2,-10507.0,-49670.0,-0.004235642514737,1,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,2,-29457.0,-66460.0,0.004235642514737,1,3,11,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,2,-21179.5,-47236.9,-0.0061993452340698,1,3,11,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,2,-17989.5,-62336.9,0.0061993452340698,1,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,2,-19969.5,-64110.8,0.0091271972989845,1,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,2,-31419.25,-64779.00000000001,-0.0060644480759523,0,3,7,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,2,-35518.5,-78231.35,0.0069397816568526,0,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,5,12871.0,-26242.8,0.0164615964481755,1,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,5,-52779.0,-86182.8,-0.0164615964481755,0,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,5,10871.75,-34482.3,0.0157175127881186,2,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,5,-50078.25,-75402.29999999999,-0.0157175127881186,0,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,5,-64045.75,-83380.3,-0.0095521129878234,0,3,10,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,5,-4337.5,-28813.1,0.0129641686760098,2,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,5,-65568.75,-79150.95,-0.0074484538564652,1,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,10,96387.25,19590.899999999998,0.0242208763036239,3,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,10,-137002.75,-133289.1,-0.0242208763036239,0,3,13,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,10,94169.5,48463.45,0.0240797215155879,2,3,17,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,10,-133360.5,-158316.55,-0.0240797215155879,0,3,11,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,10,-107667.5,-119948.0,-0.0244483266832477,0,3,13,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,10,6820.5,-39410.45000000001,0.0285682677818308,1,3,15,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_low_reversal,breakout,10,-137980.0,-165185.55,-0.0207891018400931,0,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,momentum,statistical/time-series,25,110840.0,57576.55000000002,0.0076107803382976,2,3,18,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,reversal,statistical/time-series,25,-151200.0,-171373.45,-0.0076107803382976,1,3,12,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,25,163833.25,137452.5,0.0124819066358499,2,3,16,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,25,-203006.75,-247387.5,-0.0124819066358499,1,3,14,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,25,-244539.0,-238430.25,-0.0138447837111434,0,3,9,30,1
full,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,breakout_high,breakout,25,-22194.5,10579.550000000025,0.0249139340699434,1,3,14,30,0
