submission,strategy,checkpoint,timestamp,total,delta_100,delta_500
522830 (rohan),round4_candidate_1_522830_base.py,38000,38000,40615.437255859375,-54.5556640625,488.522705078125
522830 (rohan),round4_candidate_1_522830_base.py,38500,38500,48054.05334472656,3688.51953125,7438.6160888671875
522830 (rohan),round4_candidate_1_522830_base.py,39000,39000,50176.34375,-983.634521484375,2122.2904052734375
522830 (rohan),round4_candidate_1_522830_base.py,39500,39500,56369.19909667969,2557.8560791015625,6192.8553466796875
522830 (rohan),round4_candidate_1_522830_base.py,40000,40000,55018.25634765625,550.79150390625,-1350.9427490234375
522830 (rohan),round4_candidate_1_522830_base.py,40500,40500,60624.845458984375,3163.922607421875,5606.589111328125
522830 (rohan),round4_candidate_1_522830_base.py,41000,41000,70299.97583007812,780.5560302734375,9675.13037109375
522830 (rohan),round4_candidate_1_522830_base.py,41500,41500,67842.54797363281,-1327.7098388671875,-2457.4278564453125
522830 (rohan),round4_candidate_1_522830_base.py,42000,42000,71556.01513671875,-601.699951171875,3713.4671630859375
522830 (rohan),round4_candidate_1_522830_base.py,42500,42500,72737.85681152344,-77.80816650390625,1181.8416748046875
522830 (rohan),round4_candidate_1_522830_base.py,43000,43000,73970.32739257812,848.1964111328125,1232.4705810546875
524123 (kush),round4_candidate_1_522830_base.py,38000,38000,40615.437255859375,-54.5556640625,488.522705078125
524123 (kush),round4_candidate_1_522830_base.py,38500,38500,48054.05334472656,3688.51953125,7438.6160888671875
524123 (kush),round4_candidate_1_522830_base.py,39000,39000,50176.34375,-983.634521484375,2122.2904052734375
524123 (kush),round4_candidate_1_522830_base.py,39500,39500,56369.19909667969,2557.8560791015625,6192.8553466796875
524123 (kush),round4_candidate_1_522830_base.py,40000,40000,55018.25634765625,550.79150390625,-1350.9427490234375
524123 (kush),round4_candidate_1_522830_base.py,40500,40500,60624.845458984375,3163.922607421875,5606.589111328125
524123 (kush),round4_candidate_1_522830_base.py,41000,41000,70299.97583007812,780.5560302734375,9675.13037109375
524123 (kush),round4_candidate_1_522830_base.py,41500,41500,67842.54797363281,-1327.7098388671875,-2457.4278564453125
524123 (kush),round4_candidate_1_522830_base.py,42000,42000,71556.01513671875,-601.699951171875,3713.4671630859375
524123 (kush),round4_candidate_1_522830_base.py,42500,42500,72737.85681152344,-77.80816650390625,1181.8416748046875
524123 (kush),round4_candidate_1_522830_base.py,43000,43000,73970.32739257812,848.1964111328125,1232.4705810546875
524290 (kush),,38000,38000,40153.679443359375,-56.3212890625,480.397705078125
524290 (kush),,38500,38500,47366.97521972656,3582.80078125,7213.2957763671875
524290 (kush),,39000,39000,49426.953125,-952.884521484375,2059.9779052734375
524290 (kush),,39500,39500,55427.82409667969,2479.7467041015625,6000.8709716796875
524290 (kush),,40000,40000,54107.95947265625,529.94775390625,-1319.8646240234375
524290 (kush),,40500,40500,59538.517333984375,3067.563232421875,5430.557861328125
524290 (kush),,41000,41000,69193.62426757812,830.6654052734375,9655.10693359375
524290 (kush),,41500,41500,66923.63098144531,-1340.5135498046875,-2269.9932861328125
524290 (kush),,42000,42000,71185.16943359375,-586.362060546875,4261.5384521484375
524290 (kush),,42500,42500,72917.78552246094,-14.9498291015625,1732.6160888671875
524290 (kush),,43000,43000,75083.78247070312,1312.5294189453125,2165.9969482421875
524413 (kush),,38000,38000,40153.679443359375,-56.3212890625,480.397705078125
524413 (kush),,38500,38500,47366.97521972656,3582.80078125,7213.2957763671875
524413 (kush),,39000,39000,49426.953125,-952.884521484375,2059.9779052734375
524413 (kush),,39500,39500,55427.82409667969,2479.7467041015625,6000.8709716796875
524413 (kush),,40000,40000,54107.95947265625,529.94775390625,-1319.8646240234375
524413 (kush),,40500,40500,59538.517333984375,3067.563232421875,5430.557861328125
524413 (kush),,41000,41000,69193.62426757812,830.6654052734375,9655.10693359375
524413 (kush),,41500,41500,66923.63098144531,-1340.5135498046875,-2269.9932861328125
524413 (kush),,42000,42000,71185.16943359375,-586.362060546875,4261.5384521484375
524413 (kush),,42500,42500,72917.78552246094,-14.9498291015625,1732.6160888671875
524413 (kush),,43000,43000,75083.78247070312,1312.5294189453125,2165.9969482421875
530880,,38000,38000,40084.866943359375,251.0849609375,-143.000732421875
530880,,38500,38500,47483.61584472656,3137.05078125,7398.7489013671875
530880,,39000,39000,49355.546875,-1119.681396484375,1871.9310302734375
530880,,39500,39500,55960.08972167969,2571.9029541015625,6604.5428466796875
530880,,40000,40000,55761.44384765625,1025.13525390625,-198.6458740234375
530880,,40500,40500,61847.736083984375,3147.531982421875,6086.292236328125
530880,,41000,41000,72301.43676757812,1100.2747802734375,10453.70068359375
530880,,41500,41500,70020.28723144531,-1351.7322998046875,-2281.1495361328125
530880,,42000,42000,74161.51318359375,-425.408935546875,4141.2259521484375
530880,,42500,42500,76058.17614746094,78.89398193359375,1896.6629638671875
530880,,43000,43000,78028.25122070312,1503.5762939453125,1970.0750732421875
