category,target,drivers,day,train_days,rmse,resid_std,resid_mean_abs,resid_min,resid_max,resid_next_return_corr,coef
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",2,"2,3",338.4869752987464,338.1472839880664,272.90190936276923,-803.0803117936011,716.9009159181023,-0.00783076220122011,"[2933.6649017416894, 0.9110480948748008, 0.16413153804810673, 0.11747695187207081, -0.4398460337251659]"
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",3,"2,3",270.4251676540075,269.9998602264645,210.40511827348737,-731.5833223175341,980.043528952423,-0.009243459471658081,"[2933.6649017416894, 0.9110480948748008, 0.16413153804810673, 0.11747695187207081, -0.4398460337251659]"
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",4,"2,3",2332.434574496471,743.9755947258756,2210.599773536316,351.6954292302198,3827.188019761639,0.0010081894193320904,"[2933.6649017416894, 0.9110480948748008, 0.16413153804810673, 0.11747695187207081, -0.4398460337251659]"
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",2,"2,3",205.81467900886673,205.81227723718442,176.52552576772644,-469.09479076548814,498.7161041176241,-0.0308566390516835,"[2028.8112459347246, 0.4358776187759168, 0.031030783995885478, 0.03180838716061469, 0.27467672340108984]"
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",3,"2,3",217.81681946322246,217.81455003536112,177.27473228368052,-610.7703950350988,524.9958987751015,-0.02045563191556021,"[2028.8112459347246, 0.4358776187759168, 0.031030783995885478, 0.03180838716061469, 0.27467672340108984]"
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",4,"2,3",1170.2069657015627,490.24807203688465,1082.4507684640685,-1769.847232429127,286.85203403183914,-0.02151291750789312,"[2028.8112459347246, 0.4358776187759168, 0.031030783995885478, 0.03180838716061469, 0.27467672340108984]"
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",2,"2,3",725.1483319668404,511.6913812514174,642.7515594904568,-1508.0845327654097,968.4722448676075,-0.003598145149627052,"[-5253.921686923749, 0.8589716961078392, 0.3394347466271438, -0.24392574153818294, 0.5842035354289611]"
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",3,"2,3",675.6421888319308,438.72580687981775,611.0577891628016,-1285.702289716024,1416.6442094208396,-0.004167670265675607,"[-5253.921686923749, 0.8589716961078392, 0.3394347466271438, -0.24392574153818294, 0.5842035354289611]"
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS",4,"2,3",2199.754545442563,724.897706207811,2076.883091493084,-3991.913877034789,-725.9714334125201,-0.006912507709086939,"[-5253.921686923749, 0.8589716961078392, 0.3394347466271438, -0.24392574153818294, 0.5842035354289611]"
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",2,"2,3",442.65456928579545,426.7239032364809,368.68188759828536,-1119.1858428459782,708.2913398397286,-0.014718309462544621,"[10884.703593491215, 0.23699888035534472, 0.13412570206121027, -0.0940295687358009, -0.26000536244728006]"
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",3,"2,3",427.47020694640025,410.95133496631024,335.2201567077459,-816.9291514391734,1065.3887884980686,-0.013740264669107992,"[10884.703593491215, 0.23699888035534472, 0.13412570206121027, -0.0940295687358009, -0.26000536244728006]"
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",4,"2,3",618.9430785204081,407.72933092075345,531.7296230052455,-1199.7641235172832,395.8720648200633,-0.014202846879338985,"[10884.703593491215, 0.23699888035534472, 0.13412570206121027, -0.0940295687358009, -0.26000536244728006]"
