strategy,tool,suite,capped,block,pnl
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:0,9368.5
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:10000,449121.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:20000,944644.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:30000,810238.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:40000,2125033.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:50000,3554520.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:60000,4394795.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:70000,4888489.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:80000,6643863.0
probe_c35_stack_clean_anchor.py,kevin,portal,False,4:90000,9751938.5
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:0,9368.5
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:10000,449121.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:20000,944644.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:30000,810238.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:40000,2125033.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:50000,3554520.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:60000,4394795.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:70000,4888489.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:80000,6643863.0
probe_c35_stack_clean_anchor.py,kevin,portal,True,4:90000,9751938.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:0,9071.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:10000,449246.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:20000,944673.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:30000,810651.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:40000,2125545.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:50000,3554685.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:60000,4395272.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:70000,4888860.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:80000,6643851.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,4:90000,9752410.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:0,9071.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:10000,449246.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:20000,944673.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:30000,810651.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:40000,2125545.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:50000,3554685.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:60000,4395272.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:70000,4888860.5
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:80000,6643851.0
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,4:90000,9752410.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:0,-20332.5
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:10000,383341.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:20000,895909.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:30000,878844.5
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:40000,2034605.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:50000,3171887.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:60000,3896584.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:70000,4460681.0
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:80000,6194742.5
probe_c35_stack_clean_no_snack.py,kevin,portal,False,4:90000,9049620.5
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:0,-20332.5
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:10000,383341.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:20000,895909.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:30000,878844.5
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:40000,2034605.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:50000,3171887.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:60000,3896584.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:70000,4460681.0
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:80000,6194742.5
probe_c35_stack_clean_no_snack.py,kevin,portal,True,4:90000,9049620.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:0,-20583.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:10000,383466.0
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:20000,895908.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:30000,879145.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:40000,2035038.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:50000,3172029.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:60000,3896975.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:70000,4460984.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:80000,6194730.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,4:90000,9050015.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:0,-20583.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:10000,383466.0
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:20000,895908.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:30000,879145.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:40000,2035038.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:50000,3172029.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:60000,3896975.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:70000,4460984.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:80000,6194730.5
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,4:90000,9050015.5
