Strategy,Full Kevin,Full Kevin Run,Full Xeeshan,Full Xeeshan Run,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_251_cooldown85000_hydro_mark_strong.py,"321,286",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_251_cooldown85000_hydro_mark_strong_kevin_full,"322,916",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_251_cooldown85000_hydro_mark_strong_xeeshan_full,"83,590",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_251_cooldown85000_hydro_mark_strong_kevin_window,"83,596",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_251_cooldown85000_hydro_mark_strong_xeeshan_window,pending
round4_exp_253_cooldown85000_hydro_mark_strong_exit60000.py,"343,502",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_253_cooldown85000_hydro_mark_strong_exit60000_kevin_full,"345,030",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_253_cooldown85000_hydro_mark_strong_exit60000_xeeshan_full,"83,590",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_253_cooldown85000_hydro_mark_strong_exit60000_kevin_window,"83,596",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_exp_253_cooldown85000_hydro_mark_strong_exit60000_xeeshan_window,pending
round4_candidate_14_cooldown85000_portal.py,"349,458",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_14_cooldown85000_portal_kevin_full,"350,932",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_14_cooldown85000_portal_xeeshan_full,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_14_cooldown85000_portal_kevin_window,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_14_cooldown85000_portal_xeeshan_window,pending
round4_candidate_13_cooldown80000_reentry.py,"354,302",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_13_cooldown80000_reentry_kevin_full,"355,968",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_13_cooldown80000_reentry_xeeshan_full,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_13_cooldown80000_reentry_kevin_window,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_hydro_mark_cooldown_full_20260427_234335\round4_candidate_13_cooldown80000_reentry_xeeshan_window,pending
