strategy,scope,max_len,first_above_45k,first_above_50k
round5_candidate_37.py,portal,32325,,
round5_candidate_38.py,portal,32325,,
round5_candidate_39.py,portal,31170,,
round5_candidate_40.py,portal,31108,,
round5_candidate_41.py,portal,29953,,
round5_candidate_42.py,portal,29953,,
round5_candidate_43.py,portal,29953,,
round5_candidate_44.py,portal,30523,,
