category,signal,avg_edge,avg_robust_score,products_positive,min_day_edge
ROBOT,z50_revert,0.6927508913726916,0.7917046352292859,3,-1.2780282536819958
OXYGEN_SHAKE,past5_revert,0.38824236354531794,0.7679612752462026,4,-0.5540310465698548
OXYGEN_SHAKE,z50_revert,0.4597703283493539,0.7251045233704254,4,-1.0628193567778779
ROBOT,past5_revert,0.5522917709898181,0.6892795860457352,4,-0.6535803705558337
PEBBLES,z50_revert,0.7055138095715192,0.6752012156430548,4,-3.6133653942490733
SNACKPACK,z50_revert,0.351274087432789,0.539347426777544,3,-1.1443743111912634
SNACKPACK,microprice_follow,0.14115115115115115,0.4151611611611612,5,0.07042042042042042
SNACKPACK,imbalance_follow,0.14115115115115115,0.4151611611611612,5,0.07042042042042042
UV_VISOR,microprice_follow,0.13086086086086085,0.37395195195195197,5,0.03453453453453453
UV_VISOR,imbalance_follow,0.13086086086086085,0.37395195195195197,5,0.03453453453453453
TRANSLATOR,past5_revert,0.35733600400600907,0.37031747621432143,5,-0.48923385077616427
GALAXY_SOUNDS,imbalance_follow,0.13280613947280612,0.33298898898898904,5,0.027827827827827827
GALAXY_SOUNDS,microprice_follow,0.13280613947280612,0.33298898898898904,5,0.027827827827827827
OXYGEN_SHAKE,microprice_follow,0.11438104771438104,0.3044944944944945,5,0.007557557557557558
OXYGEN_SHAKE,imbalance_follow,0.11438104771438104,0.3044944944944945,5,0.007557557557557558
SLEEP_POD,imbalance_follow,0.11964964964964966,0.289967967967968,5,0.03893893893893894
SLEEP_POD,microprice_follow,0.11964964964964966,0.289967967967968,5,0.03893893893893894
GALAXY_SOUNDS,past5_momentum,0.2367451176765148,0.24836488065431483,4,-1.0394091136705057
ROBOT,microprice_follow,0.1298631965298632,0.18199032365699033,5,-0.044394394394394396
ROBOT,imbalance_follow,0.1298631965298632,0.18199032365699033,5,-0.044394394394394396
TRANSLATOR,microprice_follow,0.08937937937937938,0.1703506840173507,5,-0.016416416416416415
TRANSLATOR,imbalance_follow,0.08937937937937938,0.1703506840173507,5,-0.016416416416416415
MICROCHIP,imbalance_follow,0.09692692692692692,0.1550704037370704,5,-0.015665665665665667
MICROCHIP,microprice_follow,0.09692692692692692,0.1550704037370704,5,-0.015665665665665667
SNACKPACK,past5_revert,0.18083124687030544,0.13084359873143048,3,-0.5759639459188783
PEBBLES,imbalance_follow,0.08554220887554222,0.11188655321988657,5,-0.10935935935935936
PEBBLES,microprice_follow,0.08554220887554222,0.11188655321988657,5,-0.10935935935935936
PANEL,microprice_follow,0.06815148481815149,0.08185051718385053,5,-0.08663663663663664
PANEL,imbalance_follow,0.06815148481815149,0.08185051718385053,5,-0.08663663663663664
PANEL,past5_revert,0.12470706059088635,-0.014965448172258377,3,-0.5096144216324486
UV_VISOR,past5_revert,0.0958370889667835,-0.02808546152562179,3,-0.7341011517275914
SLEEP_POD,past5_momentum,0.1058087130696044,-0.15253546987147387,3,-0.8253880821231848
TRANSLATOR,z50_revert,0.10937781785392245,-0.17373476271582672,2,-1.0742410580102195
UV_VISOR,z50_revert,-0.0170523995591624,-0.19792071602711822,2,-1.0468389940887686
UV_VISOR,past5_momentum,-0.0958370889667835,-0.26214521782674016,2,-0.7771156735102654
SLEEP_POD,past5_revert,-0.1058087130696044,-0.45588549490903024,2,-0.7925388082123185
PANEL,past5_momentum,-0.12470706059088635,-0.4867200801201802,2,-0.801201802704056
SNACKPACK,past5_momentum,-0.18083124687030544,-0.5528472709063595,2,-0.7296444667000501
GALAXY_SOUNDS,past5_revert,-0.2367451176765148,-0.6718878317476215,1,-1.0085628442663996
OXYGEN_SHAKE,past5_momentum,-0.38824236354531794,-0.6764546820230345,1,-1.159038557836755
PEBBLES,past5_revert,0.1310098481054916,-0.749009514271407,3,-3.2949424136204306
TRANSLATOR,past5_momentum,-0.35733600400600907,-0.7849788015356368,0,-0.9021031547320981
MICROCHIP,past5_revert,-0.0009013520280420614,-0.8225438157235854,2,-1.8896845267901852
SLEEP_POD,z50_revert,-0.38672477707644526,-0.8491563971545938,3,-2.167768760645226
MICROCHIP,past5_momentum,0.0009013520280420614,-0.9907204139542646,3,-2.376815222834251
PANEL,z50_revert,-0.260020706008082,-1.0007130214073405,1,-1.7164111812443643
MICROCHIP,z50_revert,0.04864242059913837,-1.0656233510336306,3,-2.696874060715359
GALAXY_SOUNDS,z50_revert,-0.09380489596900778,-1.1275971011588686,2,-2.0937781785392247
PEBBLES,past5_momentum,-0.1310098481054916,-1.4366726756801869,2,-2.1336004006009013
ROBOT,past5_momentum,-0.5522917709898181,-1.618780170255383,1,-5.086780170255383
