category,target,r2_explained_by_other_four,resid_std,resid_adf_p,resid_abs_z_gt_2_rate
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,0.1932115494571468,297.0398447808881,0.03505811095625246,0.04413333333333333
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,0.21956601813198295,846.7108691599667,0.8542322842933823,0.03916666666666667
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,0.19998204976969702,684.9928472449238,0.510810902729813,0.023533333333333333
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,0.30141883890383625,452.26668868022534,0.28442678726564347,0.04396666666666667
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,0.11624872434844136,423.1776249889538,0.026744248639833622,0.03613333333333334
SLEEP_POD,SLEEP_POD_SUEDE,0.7532629586155457,447.0271032758445,0.02412160840282567,0.0441
SLEEP_POD,SLEEP_POD_LAMB_WOOL,0.2877772055726554,348.68696731163647,0.005687510312919001,0.0468
SLEEP_POD,SLEEP_POD_POLYESTER,0.8878871310397407,327.3121037587675,0.0011304712093927164,0.051333333333333335
SLEEP_POD,SLEEP_POD_NYLON,0.38513687031279364,398.9103680259967,0.10937034126632306,0.06853333333333333
SLEEP_POD,SLEEP_POD_COTTON,0.7918989181447968,404.9486085303826,0.012394448996168234,0.030633333333333332
MICROCHIP,MICROCHIP_CIRCLE,0.5501999749369465,357.1406681612986,0.057310556777611224,0.038233333333333334
MICROCHIP,MICROCHIP_OVAL,0.9186291866441225,442.6916330665995,0.0007958505719735683,0.055
MICROCHIP,MICROCHIP_SQUARE,0.8438648806774333,723.204740896668,0.009587751232790171,0.03766666666666667
MICROCHIP,MICROCHIP_RECTANGLE,0.8078684880144803,329.63117695875223,0.0008805985751497872,0.043866666666666665
MICROCHIP,MICROCHIP_TRIANGLE,0.8587195678153418,313.2410415712823,0.00015692409669925076,0.055466666666666664
PEBBLES,PEBBLES_XS,0.9999962729087615,2.798448154985531,0.0,0.028433333333333335
PEBBLES,PEBBLES_S,0.9999887223737248,2.798342852739618,0.0,0.028433333333333335
PEBBLES,PEBBLES_M,0.9999834471151662,2.7984006813139954,0.0,0.028433333333333335
PEBBLES,PEBBLES_L,0.9999797794506762,2.79845522407544,0.0,0.028433333333333335
PEBBLES,PEBBLES_XL,0.9999975186856395,2.798448586370284,0.0,0.028433333333333335
ROBOT,ROBOT_VACUUMING,0.7737548329518515,254.59704104451706,0.005696326537063773,0.049
ROBOT,ROBOT_MOPPING,0.7914769009064356,350.31880782734163,0.0052873258469018575,0.0341
ROBOT,ROBOT_DISHES,0.6734592978035743,318.08440542308756,0.0070784033676605075,0.047433333333333334
ROBOT,ROBOT_LAUNDRY,0.729277981843454,319.6377642929281,0.03777644311874652,0.03356666666666667
ROBOT,ROBOT_IRONING,0.7708570250461865,369.0833016230879,0.032991334021972955,0.0284
UV_VISOR,UV_VISOR_YELLOW,0.44007761894135067,510.1830642134452,0.08995265616220183,0.026133333333333335
UV_VISOR,UV_VISOR_AMBER,0.8963536556978277,320.94916550920493,0.0020631889414864115,0.042866666666666664
UV_VISOR,UV_VISOR_ORANGE,0.527672185507158,378.4083295979137,0.6183394380607459,0.03643333333333333
UV_VISOR,UV_VISOR_RED,0.6706008593689012,337.30927517218674,0.003121623199737694,0.061533333333333336
UV_VISOR,UV_VISOR_MAGENTA,0.814736148441705,264.0877308030564,0.0008095367704679286,0.03903333333333334
TRANSLATOR,TRANSLATOR_SPACE_GRAY,0.30916947045844456,417.83051243793955,0.15954255060527056,0.0439
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,0.49721773203077413,347.2648859072841,0.021112782252013844,0.032
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,0.2641830715469957,305.0644477545041,0.0187733199664218,0.042666666666666665
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,0.04784754613049946,487.443479179162,0.38473280627093853,0.08056666666666666
TRANSLATOR,TRANSLATOR_VOID_BLUE,0.6770909198775938,329.1616930032964,0.003919282291861445,0.04016666666666667
PANEL,PANEL_1X2,0.3174386089799188,487.37301889776774,0.1731937704544601,0.0546
PANEL,PANEL_2X2,0.7000838359528497,369.5486557327337,0.033477799745505306,0.060733333333333334
PANEL,PANEL_1X4,0.5364129696519009,567.87026009247,0.3574700496644191,0.09286666666666667
PANEL,PANEL_2X4,0.5775456756001707,407.6521172816517,0.033915834001288954,0.036166666666666666
PANEL,PANEL_4X4,0.48019266008430894,329.51341183494,0.0263381484277883,0.04613333333333333
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,0.4981486717546727,462.45669474893225,0.08717190172507078,0.0663
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,0.42314683026558064,303.66782606954536,0.059364825179793586,0.035866666666666665
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,0.24308926787849872,442.077211110832,0.30741353254052883,0.028466666666666668
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,0.4783415016695004,404.89971868907236,0.03439239635040311,0.04856666666666667
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,0.6945956765103445,526.8530970455016,0.009840091297137225,0.0548
SNACKPACK,SNACKPACK_CHOCOLATE,0.948366766254739,45.61252792734552,0.01981792856267312,0.035633333333333336
SNACKPACK,SNACKPACK_VANILLA,0.9294155317310396,47.42729760065169,0.045416529006507014,0.042666666666666665
SNACKPACK,SNACKPACK_PISTACHIO,0.7700662299433498,89.90651270341188,0.0268347820737407,0.021533333333333335
SNACKPACK,SNACKPACK_STRAWBERRY,0.7987878683451212,163.08680958536226,0.049081257705939345,0.0304
SNACKPACK,SNACKPACK_RASPBERRY,0.7455509379805119,85.65910447724464,0.046178488406236916,0.041166666666666664
