target,test_day,r2,resid_mean,resid_std,resid_max_abs,resid_adf_p,future10_contrarian_edge
PEBBLES_XS,2,0.9999793671887921,-0.08557867471786886,2.815651975093027,18.50446396118059,0.0,-0.6896396396396396
PEBBLES_XS,3,0.9999842509475622,0.15370368367546397,2.7587088806937428,18.34049741988565,0.0,0.9160660660660661
PEBBLES_XS,4,0.999966786874434,-0.03518882978002948,2.8224952389699602,18.494866811342945,0.0,0.003303303303303303
PEBBLES_S,2,0.9999610883854058,-0.17229740203267066,2.8151864998028437,18.61004221940675,0.0,-0.41996996996997
PEBBLES_S,3,0.9998962486756945,0.2500266495937445,2.7594694809219837,18.32322193242726,0.0,0.571021021021021
PEBBLES_S,4,0.9999683147498764,-0.13034945863973627,2.821435943246246,18.55293901279947,0.0,0.08518518518518518
PEBBLES_M,2,0.9999277053354207,-0.11905778786403971,2.8154141689144185,18.543399077556387,0.0,0.2782782782782783
PEBBLES_M,3,0.9999864861164921,0.18730475850948278,2.759216357734872,18.394879264575138,0.0,-1.0192192192192193
PEBBLES_M,4,0.9999191261997146,-0.02651311732780159,2.8226860687929176,18.490387745994667,0.0,1.1107607607607608
PEBBLES_L,2,0.9999688899009106,-0.1680087886121757,2.8154109948324715,18.60663558644592,0.0,0.1992992992992993
PEBBLES_L,3,0.9999599702351054,0.18037355523004517,2.758827412311966,18.336340471621952,0.0,0.2032032032032032
PEBBLES_L,4,0.9999851675543371,-0.046797285990827366,2.821889642271011,18.481200025031285,0.0,-0.28473473473473476
PEBBLES_XL,2,0.999996131813462,-0.15702321701195252,2.815439031347356,18.59688049066608,0.0,1.1891891891891893
PEBBLES_XL,3,0.9999804621114169,0.1905324013652069,2.758921368783919,18.315838923561387,0.0,0.3743743743743744
PEBBLES_XL,4,0.9999961795319048,-0.04946623688814943,2.8222700888562886,18.50555951262504,0.0,0.9193193193193193
