product,category,signal,edge_mean,edge_t,positive_days,min_day_edge,positive_blocks,min_block_edge,concentration_ratio_best_day
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,microprice_follow,0.09951618284951619,2.603860533252725,3,0.027827827827827827,6,-0.1115,0.6409052808046941
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,imbalance_follow,0.09951618284951619,2.603860533252725,3,0.027827827827827827,6,-0.1115,0.6409052808046941
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z50_revert,-0.1120796179407541,-0.5357866474614059,2,-1.7593928464081756,3,-1.6515,2.7699642431466036
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,past5_revert,-0.7224670338841596,-3.47509207695946,0,-1.0085628442663996,3,-1.9617845117845119,-0.15008201834438462
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,past5_momentum,0.7224670338841596,3.47509207695946,3,0.32528793189784677,7,-0.5623333333333334,0.46533280964812973
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,microprice_follow,0.12791124457791125,3.664624389145775,3,0.12137137137137137,8,-0.12066666666666667,0.36402765097169687
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,imbalance_follow,0.12791124457791125,3.664624389145775,3,0.12137137137137137,8,-0.12066666666666667,0.36402765097169687
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,z50_revert,-0.1020939785592626,-0.5477129594803626,1,-1.469592225227933,4,-2.7905,6.466306836768072
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,past5_revert,0.3841595726923719,2.074865708079751,2,-0.09063595393089635,6,-0.7353433835845896,0.9018900716923745
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,past5_momentum,-0.3841595726923719,-2.074865708079751,1,-1.0394091136705057,4,-1.9115,0.07864436237236586
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,microprice_follow,0.17580914247580914,4.818562843577601,3,0.15675675675675677,9,-0.04915824915824916,0.3558550009489466
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,imbalance_follow,0.17580914247580914,4.818562843577601,3,0.15675675675675677,9,-0.04915824915824916,0.3558550009489466
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,z50_revert,-0.7634505560565074,-3.802499517776638,1,-2.0937781785392247,5,-3.741582491582492,0.3264654418197725
