product,category,horizon,split,model,r2,direction_accuracy,prediction_actual_corr
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d3,ridge,-0.0029755316583457425,0.500761421319797,0.039445123289817294
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d2_to_d4,ridge,-0.007156138884919505,0.4967885375494071,0.07001059144684652
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,d23_to_d4,ridge,-0.0012562922194170323,0.49728260869565216,0.06048463437569722
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,d2_to_d3,ridge,-0.004847367457657237,0.5025138260432378,0.009917671732541752
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,d2_to_d4,ridge,-0.009959940044011129,0.49623871614844534,-0.003033006188281928
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,d23_to_d4,ridge,-0.0019969980993848058,0.5097793380140421,0.016838752080399456
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10,d2_to_d3,ridge,-0.009980533154479332,0.49110944152266467,-0.017231675551818808
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10,d2_to_d4,ridge,-0.018063513812312415,0.4922110552763819,0.03368952533925142
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10,d23_to_d4,ridge,-0.015595151731097268,0.4829145728643216,0.05574088771518891
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,25,d2_to_d3,ridge,-0.01770898519689723,0.5047931382441978,-0.01725654858343969
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,25,d2_to_d4,ridge,-0.03110254165326576,0.49276447105788423,-0.03269478475289666
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,25,d23_to_d4,ridge,-0.020318246966589237,0.4810379241516966,0.010995366583880626
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,50,d2_to_d3,ridge,-0.031727078486264215,0.4776006074411541,-0.026332418755851607
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,50,d2_to_d4,ridge,-0.0705499930623128,0.5054617676266137,-0.024004783124397303
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,50,d23_to_d4,ridge,-0.061003769243501926,0.45953326713008935,-0.018211566791197748
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,1,d2_to_d3,ridge,-0.0034494258768773545,0.5006273525721455,0.034080113313138434
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,1,d2_to_d4,ridge,-0.004082962597501849,0.5043892651116128,0.018597801573880437
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,1,d23_to_d4,ridge,0.0005555094090288204,0.5081514923501379,0.03729995488806992
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,d2_to_d3,ridge,-0.007524886806670628,0.4940820951901284,0.028095565338706104
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,d2_to_d4,ridge,-0.009234174857224442,0.5040020010005003,0.014190314137589604
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,d23_to_d4,ridge,-0.005476275885708981,0.5040020010005003,0.017014800772025187
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10,d2_to_d3,ridge,-0.01761380407940183,0.48729559748427675,0.012564776089340469
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10,d2_to_d4,ridge,-0.00836735662347654,0.49949974987493745,0.027557425774715767
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10,d23_to_d4,ridge,-0.0035314244435025177,0.5042521260630315,0.028455310591008188
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,25,d2_to_d3,ridge,-0.03236890411526283,0.4648634984833165,-0.03816863971583136
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,25,d2_to_d4,ridge,-0.007237034980964063,0.5079601990049751,0.056377962223471585
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,25,d23_to_d4,ridge,-0.0005511308384835711,0.5146766169154229,0.09175426768191981
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,50,d2_to_d3,ridge,-0.02303714217222108,0.48491704374057315,0.03212902185370128
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,50,d2_to_d4,ridge,0.012989856774941244,0.5444083062296723,0.13743904582478497
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,50,d23_to_d4,ridge,0.005063802970392106,0.5133850387790844,0.14378721595609914
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,1,d2_to_d3,ridge,-0.0001646656136711222,0.49848024316109424,0.044496911452898746
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,1,d2_to_d4,ridge,0.001969847468768049,0.5099552015928323,0.07464860124461922
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,1,d23_to_d4,ridge,0.004045021001092608,0.5136884021901443,0.07777679086513617
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,d2_to_d3,ridge,-0.010051812922736714,0.48721163490471414,0.0036062943624731794
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,d2_to_d4,ridge,-0.010858822714192806,0.4910826425521226,0.01629408719224893
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,d23_to_d4,ridge,-0.004711560069497356,0.4860587792012057,0.011828293876086853
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10,d2_to_d3,ridge,-0.014550401725511142,0.4827238335435057,-0.05713624006006962
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10,d2_to_d4,ridge,-0.007832927861333605,0.4970044932601098,0.03104878710719079
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10,d23_to_d4,ridge,-0.001672521015577244,0.4970044932601098,0.05438468702462102
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,25,d2_to_d3,ridge,-0.032290981890917836,0.4932894403646493,-0.03567034350157223
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,25,d2_to_d4,ridge,-0.027536634324561327,0.4714356681569796,0.04977756862057156
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,25,d23_to_d4,ridge,-0.013827653203904333,0.48161947342275213,0.05337002208620812
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50,d2_to_d3,ridge,-0.03683609156698342,0.5133703329969728,-0.0531752406044278
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50,d2_to_d4,ridge,-0.04599786694378438,0.45203089957637677,-0.015009849002589412
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50,d23_to_d4,ridge,-0.029052753361951122,0.45801146274607524,0.004462255258911648
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,1,d2_to_d3,ridge,-0.0014307928043746365,0.5171370967741935,0.036442748428035306
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,1,d2_to_d4,ridge,-0.005461371353851163,0.49218168279970215,0.019706617361039538
