product,category,test_day,model,feature,importance
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,spread,-0.1333361452288023
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,top_imbalance,-2.0592985796989445
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,microprice_edge,3.0935724216472007
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,mid_diff_1,-0.32314711617762115
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,past_mid_diff_5,0.2349581888464611
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,past_mid_diff_10,1.9347067721857258
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,roll_z_25,1.5736318249069148
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,roll_z_50,-3.3354469714783646
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,roll_z_100,1.457315208948784
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,ridge_lodo,roll_z_250,-0.29075332247986707
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,spread,0.03316903850316284
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,top_imbalance,0.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,microprice_edge,0.0060048602648957805
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,mid_diff_1,0.058806137702968206
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,past_mid_diff_5,0.09004660196161009
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,past_mid_diff_10,0.10074923456334187
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,roll_z_25,0.0580495822408216
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,roll_z_50,0.09395568032062858
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,roll_z_100,0.19545368340702649
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,rf_depth4_lodo,roll_z_250,0.36376518103554467
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,spread,-0.7934148861295267
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,top_imbalance,-3.3745942681049828
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,microprice_edge,4.648021337510701
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,mid_diff_1,0.003030881997006944
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,past_mid_diff_5,0.7562522073202608
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,past_mid_diff_10,0.3030988284459555
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,roll_z_25,1.836304927933509
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,roll_z_50,-3.4945729919603847
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,ridge_lodo,roll_z_100,-0.7406547828294908
