category,product,resid_reversion_corr_all,contrarian_future10_edge_all,day_edge_min,day_edge_max,day_edge_mean,stable_positive_days
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,-0.005765318112531593,0.3795327696266836,-0.5587587587587588,1.7821647721557188,0.38182602848967734,1
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,0.020245538965148715,-0.707914173991511,-2.0707707707707708,1.1766266266266265,-0.708771315324982,1
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,0.028309517861368268,-0.5739948531131981,-1.7356905743888944,1.0687687687687688,-0.5758941887936287,1
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,0.01841758935895973,-0.2519133718792821,-1.0675675675675675,0.17302082285484358,-0.251218617940611,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,0.0014540984430464739,-0.197135790916079,-1.4167085806256916,1.6423423423423424,-0.1991297537687907,1
SLEEP_POD,SLEEP_POD_SUEDE,-0.00734284483913836,-0.12917349019083588,-0.7065565565565566,0.16876876876876876,-0.12871436134521674,2
SLEEP_POD,SLEEP_POD_LAMB_WOOL,0.01459613337202915,-0.12105210387353364,-1.777688361331858,1.2797297297297296,-0.1237606516418172,2
SLEEP_POD,SLEEP_POD_POLYESTER,-0.015476905962175639,0.13188061896326994,-1.2070570570570571,0.860225329443718,0.13307143947756897,2
SLEEP_POD,SLEEP_POD_NYLON,-0.004691995435407717,-0.10900370976905852,-0.2784931093451363,0.2084084084084084,-0.10928081956482855,1
SLEEP_POD,SLEEP_POD_COTTON,0.024325788509919073,-1.1148190234283613,-1.5123730007041545,-0.657007007007007,-1.1154690115793962,0
MICROCHIP,MICROCHIP_CIRCLE,-0.015046154785932672,0.30520370308478995,-0.05525525525525526,0.8196196196196196,0.3049507476158048,2
MICROCHIP,MICROCHIP_OVAL,-0.017202609780239037,0.22666354734133218,-1.2313313313313314,1.6809677094859672,0.2290412885473744,2
MICROCHIP,MICROCHIP_SQUARE,-0.001910039501359605,-0.4808161491928746,-3.2528528528528526,2.226176176176176,-0.48070927951054027,1
