product,category,model,regime,count,future10_mean,future10_std,spread_mean,abs_imbalance_mean
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,0,4129,0.7920804068781787,36.36740460882387,14.75078711552434,0.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,1,77,4.662337662337662,30.70267448902816,7.9480519480519485,0.6567862476726584
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,2,72,1.9930555555555556,31.500781686651994,6.888888888888889,0.6388046888863964
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,0,4129,0.006902397674981835,31.953949397428556,13.278759990312425,0.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,1,77,-4.077922077922078,30.002200021860784,7.064935064935065,0.6567862476726584
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,2,72,0.6319444444444444,39.47141888559291,6.111111111111111,0.6388046888863964
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,gaussian_hmm3,0,2055,0.19562043795620437,32.07528920367645,13.281265206812652,0.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,gaussian_hmm3,1,40,3.0,37.05730143633762,6.05,0.6246361776102869
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,gaussian_hmm3,2,44,-0.45454545454545453,31.734329255192325,7.090909090909091,0.6631647027312757
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,0,4129,-0.5988132719786873,34.572162495546436,13.931702591426495,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,1,72,6.069444444444445,35.022659220024124,6.444444444444445,0.6388046888863964
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,2,77,-1.1363636363636365,37.492598950680325,7.402597402597403,0.6567862476726584
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,0,4129,0.10523129086945991,34.967773185898686,14.30782271736498,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,1,72,6.166666666666667,31.9412973886979,6.625,0.6388046888863964
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,2,77,1.9415584415584415,32.86655375049291,7.766233766233766,0.6567862476726584
