product,category,signal,feature,window,horizon,threshold,cost_mult,active_rate,net_edge_mean,net_edge_t,positive_days,min_day_edge,positive_blocks,min_block_edge,count
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.25,0.0,0.9001001001001001,-0.05325103795966785,-0.7617693016321324,0,-0.0888567615658363,12,-0.5417282127031019,26976
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.25,0.25,0.9001001001001001,-1.8674747924080664,-26.70809838241202,0,-2.070340302491103,0,-2.4932607090103396,26976
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.25,0.5,0.9001001001001001,-3.681698546856465,-52.6216267638074,0,-4.05182384341637,0,-4.444793205317578,26976
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.25,1.0,0.9001001001001001,-7.310146055753262,-104.23308273478372,0,-8.014790925266905,0,-8.347858197932053,26976
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.5,0.0,0.7926259592926259,-0.08093033045674594,-1.0876267820604268,0,-0.13537974683544304,9,-0.5765050167224081,23755
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.5,0.25,0.7926259592926259,-1.8944274889496948,-25.452878367652396,0,-2.116993670886076,0,-2.4653344208809136,23755
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.5,0.5,0.7926259592926259,-3.7079246474426437,-49.78669336341958,0,-4.098607594936709,0,-4.418433931484502,23755
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.5,1.0,0.7926259592926259,-7.3349189644285415,-98.24873359668372,0,-8.061835443037975,0,-8.32463295269168,23755
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.75,0.0,0.6776443109776443,-0.06824560539662218,-0.8460431636825274,1,-0.1506758742286218,8,-0.6333661417322834,20309
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,z_revert,roll_z_25,25,1,0.75,0.25,0.6776443109776443,-1.8833460534738293,-23.340414460495268,0,-2.0446284032376747,0,-2.5250984251968505,20309
