product,category,test_day,model,r2,pred_actual_corr,direction_accuracy
MICROCHIP_OVAL,MICROCHIP,2,rf_depth4_lodo,-0.008789464390037693,-0.05185275915317179,0.5207920792079208
MICROCHIP_OVAL,MICROCHIP,3,ridge_lodo,-0.009800805471077423,-0.025913489391968046,0.5011812352345596
MICROCHIP_OVAL,MICROCHIP,3,rf_depth4_lodo,-0.012388164352282072,-0.033573354155561064,0.4863314208572393
MICROCHIP_OVAL,MICROCHIP,4,ridge_lodo,-0.0021607378130472643,0.03846837674203229,0.5134685733288993
MICROCHIP_OVAL,MICROCHIP,4,rf_depth4_lodo,-0.005437619017798934,0.0019432701388442059,0.5134685733288993
MICROCHIP_RECTANGLE,MICROCHIP,2,ridge_lodo,0.00047883216574073906,0.03225386304777548,0.504950495049505
MICROCHIP_RECTANGLE,MICROCHIP,2,rf_depth4_lodo,-0.001114590073463484,0.018074833992554683,0.49438943894389437
MICROCHIP_RECTANGLE,MICROCHIP,3,ridge_lodo,-0.000875453940937243,0.05822724564578461,0.5038812014849814
MICROCHIP_RECTANGLE,MICROCHIP,3,rf_depth4_lodo,-0.004364180720915156,0.024513887939206162,0.49510631117111037
MICROCHIP_RECTANGLE,MICROCHIP,4,ridge_lodo,-0.006370265379038065,0.018020707459750554,0.49052211506484866
MICROCHIP_RECTANGLE,MICROCHIP,4,rf_depth4_lodo,-0.005879095817066471,0.023248968823608752,0.49950116395078153
MICROCHIP_SQUARE,MICROCHIP,2,ridge_lodo,-0.003675594482845712,-0.012004134428985428,0.5003300330033004
MICROCHIP_SQUARE,MICROCHIP,2,rf_depth4_lodo,-0.005011392712743534,0.019372868421911715,0.5092409240924093
MICROCHIP_SQUARE,MICROCHIP,3,ridge_lodo,-0.010041581099164976,-0.035505484862301255,0.4822814714816065
MICROCHIP_SQUARE,MICROCHIP,3,rf_depth4_lodo,-0.013304749072071909,-0.02392326164874448,0.4748565642929463
MICROCHIP_SQUARE,MICROCHIP,4,ridge_lodo,-0.0070447955693813125,-0.012174440549816734,0.4941802460924509
MICROCHIP_SQUARE,MICROCHIP,4,rf_depth4_lodo,-0.009798830496989375,-0.011405160199189659,0.4822081809112072
MICROCHIP_TRIANGLE,MICROCHIP,2,ridge_lodo,-0.005746299158927437,-0.01925788643609423,0.49174917491749176
