product,category,mean_test_edge,min_test_edge,positive_test_days,mean_train_edge,overfit_ratio,selected_signals
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,-11.800229102899314,-20.25410872313527,0,13.308599755025517,-0.8866619569382856,past_revert|past_momentum|z_revert
PANEL_2X4,PANEL,-13.676326658967298,-24.74547803617571,0,16.69029260559218,-0.8194180283205439,z_revert|past_momentum|z_revert
SNACKPACK_CHOCOLATE,SNACKPACK,-13.70055966416219,-22.66983215547703,0,8.813848055219463,-1.5544356537946977,past_momentum|past_revert|z_revert
SLEEP_POD_POLYESTER,SLEEP_POD,-14.120319351334699,-16.922363060208237,0,12.257938668899952,-1.151932615486147,z_revert|past_revert|past_momentum
SNACKPACK_VANILLA,SNACKPACK,-15.283350035449137,-24.971098265895954,0,4.621112543044947,-3.307287994630536,past_momentum|past_revert|past_momentum
MICROCHIP_TRIANGLE,MICROCHIP,-15.372116500232687,-29.407923299565848,0,15.228338105931485,-1.0094415026315446,past_momentum|past_revert|past_momentum
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,-16.751048015142473,-23.287981269510926,0,11.691063484074945,-1.4328078910836484,z_revert|past_revert|past_momentum
TRANSLATOR_SPACE_GRAY,TRANSLATOR,-20.111017627233213,-27.244765494137354,0,11.784602133086786,-1.7065504121491675,past_momentum|past_momentum|z_revert
SLEEP_POD_LAMB_WOOL,SLEEP_POD,-22.362036442276736,-40.19357764876633,0,13.248991842368099,-1.6878292860568167,past_revert|past_momentum|past_momentum
PEBBLES_S,PEBBLES,-25.79016169335932,-51.040239726027394,0,22.028262545886435,-1.1707760264631213,z_revert|past_momentum|z_revert
