Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_220_hydro_mark_lock.py,skipped,skipped,"80,447",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_220_hydro_mark_lock_kevin_window,"81,558",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_220_hydro_mark_lock_xeeshan_window,pending
round4_exp_221_hydro_mark_lock_strong.py,skipped,skipped,"81,323",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_221_hydro_mark_lock_strong_kevin_window,"81,329",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_221_hydro_mark_lock_strong_xeeshan_window,pending
round4_exp_222_hydro_tighter_active.py,skipped,skipped,"80,268",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_222_hydro_tighter_active_kevin_window,"80,268",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_222_hydro_tighter_active_xeeshan_window,pending
round4_exp_223_hydro_tighter_nomaker.py,skipped,skipped,"80,239",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_223_hydro_tighter_nomaker_kevin_window,"80,239",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_223_hydro_tighter_nomaker_xeeshan_window,pending
round4_exp_224_hydro_mark_after40_lock.py,skipped,skipped,"81,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_224_hydro_mark_after40_lock_kevin_window,"81,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_224_hydro_mark_after40_lock_xeeshan_window,pending
round4_exp_225_cooldown_reentry_78000.py,skipped,skipped,"83,202",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_225_cooldown_reentry_78000_kevin_window,"83,202",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_225_cooldown_reentry_78000_xeeshan_window,pending
round4_exp_226_cooldown_reentry_80000.py,skipped,skipped,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_226_cooldown_reentry_80000_kevin_window,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_226_cooldown_reentry_80000_xeeshan_window,pending
round4_exp_227_cooldown_reentry_82000.py,skipped,skipped,"83,304",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_227_cooldown_reentry_82000_kevin_window,"83,304",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_227_cooldown_reentry_82000_xeeshan_window,pending
round4_exp_228_cooldown_reentry_85000.py,skipped,skipped,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_228_cooldown_reentry_85000_kevin_window,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_228_cooldown_reentry_85000_xeeshan_window,pending
round4_exp_229_cooldown80000_5100size15.py,skipped,skipped,"82,808",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_229_cooldown80000_5100size15_kevin_window,"82,808",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_structural_batch_window_20260427_233134\round4_exp_229_cooldown80000_5100size15_xeeshan_window,pending
