strategy,scope,max_len,first_above_45k,first_above_50k
probe_struct_robust_leadlag_panel.py,portal,33312,,
probe_struct_robust_leadlag_sleep.py,portal,33400,,
probe_struct_robust_leadlag_trans_galaxy.py,portal,36220,,
probe_struct_robust_leadlag_oxygen_snack.py,portal,36657,,
probe_struct_robust_leadlag_all_fresh.py,portal,49721,21100,
probe_struct_robust_curve_panel.py,portal,33623,,
probe_struct_robust_curve_sleep.py,portal,32924,,
probe_struct_robust_leadlag_curve_panel_sleep.py,portal,43430,,
probe_struct_portal_leadlag_panel.py,portal,33312,,
probe_struct_portal_leadlag_sleep.py,portal,33400,,
probe_struct_portal_leadlag_trans_galaxy.py,portal,36220,,
probe_struct_portal_leadlag_oxygen_snack.py,portal,36657,,
probe_struct_portal_leadlag_all_fresh.py,portal,49721,21100,
probe_struct_portal_curve_panel.py,portal,33623,,
probe_struct_portal_curve_sleep.py,portal,32924,,
probe_struct_portal_leadlag_curve_panel_sleep.py,portal,43430,,
