Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_348_c15_plus14_weak86000_passivecover_4000_4500_85200_s36.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_348_c15_plus14_weak86000_passivecover_4000_4500_85200_s36_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_348_c15_plus14_weak86000_passivecover_4000_4500_85200_s36_xeeshan_window,pending
round4_exp_349_c15_plus14_weak86000_passivecover_4000_4500_86600_s36.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_349_c15_plus14_weak86000_passivecover_4000_4500_86600_s36_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_349_c15_plus14_weak86000_passivecover_4000_4500_86600_s36_xeeshan_window,pending
round4_exp_350_c15_plus14_weak86000_passivecover_4000_4500_90000_s36.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_350_c15_plus14_weak86000_passivecover_4000_4500_90000_s36_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_350_c15_plus14_weak86000_passivecover_4000_4500_90000_s36_xeeshan_window,pending
round4_exp_351_c15_plus14_weak86000_passivecover_4000_4500_90000_s12.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_351_c15_plus14_weak86000_passivecover_4000_4500_90000_s12_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_351_c15_plus14_weak86000_passivecover_4000_4500_90000_s12_xeeshan_window,pending
round4_exp_352_c15_plus14_weak86000_passivecover_4000_4500_90000_s72.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_352_c15_plus14_weak86000_passivecover_4000_4500_90000_s72_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_352_c15_plus14_weak86000_passivecover_4000_4500_90000_s72_xeeshan_window,pending
round4_exp_353_c15_plus14_weak86000_passivecover_5400_5500_90000_s36.py,skipped,skipped,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_353_c15_plus14_weak86000_passivecover_5400_5500_90000_s36_kevin_window,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_353_c15_plus14_weak86000_passivecover_5400_5500_90000_s36_xeeshan_window,pending
round4_exp_354_c15_plus14_weak86000_passivecover_deep_far_90000_s36.py,skipped,skipped,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_354_c15_plus14_weak86000_passivecover_deep_far_90000_s36_kevin_window,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_354_c15_plus14_weak86000_passivecover_deep_far_90000_s36_xeeshan_window,pending
round4_exp_319_c15_hydro_plus14_weak86000.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_319_c15_hydro_plus14_weak86000_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_exp_319_c15_hydro_plus14_weak86000_xeeshan_window,pending
round4_candidate_16_best_combo.py,skipped,skipped,"83,590",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_candidate_16_best_combo_kevin_window,"83,596",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_passive_cover_window_20260428_011404\round4_candidate_16_best_combo_xeeshan_window,pending
