strategy,tool,suite,capped,block,pnl
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:20000,1163774.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:30000,994638.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:40000,2268366.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:50000,3514240.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:60000,4409901.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:70000,5169387.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:80000,6998212.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,False,4:90000,10085194.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:0,9071.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:10000,452632.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:20000,1163774.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:30000,994638.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:40000,2268366.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:50000,3514240.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:60000,4409901.5
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:70000,5169387.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:80000,6998212.0
probe_c35_stack_anchor_microtri_only.py,xeeshan,portal,True,4:90000,10085194.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:0,9368.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:10000,435971.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:20000,966294.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:30000,948398.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:40000,2410528.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:50000,3985435.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:60000,4842515.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:70000,5364412.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:80000,7171773.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,False,4:90000,10253372.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:0,9368.5
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:10000,435971.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:20000,966294.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:30000,948398.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:40000,2410528.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:50000,3985435.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:60000,4842515.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:70000,5364412.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:80000,7171773.0
probe_c35_stack_anchor_uvamber_only.py,kevin,portal,True,4:90000,10253372.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:0,9071.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:10000,435946.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:20000,966323.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:30000,948811.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:40000,2411040.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:50000,3985600.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:60000,4842992.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:70000,5364693.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:80000,7171761.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,False,4:90000,10253382.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:0,9071.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:10000,435946.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:20000,966323.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:30000,948811.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:40000,2411040.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:50000,3985600.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:60000,4842992.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:70000,5364693.5
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:80000,7171761.0
probe_c35_stack_anchor_uvamber_only.py,xeeshan,portal,True,4:90000,10253382.0
