strategy,tool,suite,capped,block,pnl
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,True,4:80000,7131869.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,True,4:90000,10154563.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:0,162911.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:10000,501632.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:20000,1436784.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:30000,1508684.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:40000,2788067.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:50000,3781547.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:60000,4694748.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:70000,5457791.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:80000,7131699.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,False,4:90000,10154976.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:0,162911.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:10000,501632.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:20000,1436784.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:30000,1508684.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:40000,2788067.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:50000,3781547.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:60000,4694748.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,xeeshan,portal,True,4:70000,5457791.5
