Strategy,Full Kevin,Full Kevin Run,Full Xeeshan,Full Xeeshan Run,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_225_cooldown_reentry_78000.py,"354,118",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_225_cooldown_reentry_78000_kevin_full,"355,734",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_225_cooldown_reentry_78000_xeeshan_full,"83,202",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_225_cooldown_reentry_78000_kevin_window,"83,202",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_225_cooldown_reentry_78000_xeeshan_window,pending
round4_exp_226_cooldown_reentry_80000.py,"354,302",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_226_cooldown_reentry_80000_kevin_full,"355,968",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_226_cooldown_reentry_80000_xeeshan_full,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_226_cooldown_reentry_80000_kevin_window,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_226_cooldown_reentry_80000_xeeshan_window,pending
round4_exp_227_cooldown_reentry_82000.py,"353,188",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_227_cooldown_reentry_82000_kevin_full,"354,804",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_227_cooldown_reentry_82000_xeeshan_full,"83,304",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_227_cooldown_reentry_82000_kevin_window,"83,304",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_227_cooldown_reentry_82000_xeeshan_window,pending
round4_exp_228_cooldown_reentry_85000.py,"349,458",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_228_cooldown_reentry_85000_kevin_full,"350,932",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_228_cooldown_reentry_85000_xeeshan_full,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_228_cooldown_reentry_85000_kevin_window,"83,332",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_228_cooldown_reentry_85000_xeeshan_window,pending
round4_exp_230_cooldown80000_hydro_mark_lock.py,"323,776",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_230_cooldown80000_hydro_mark_lock_kevin_full,"356,444",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_230_cooldown80000_hydro_mark_lock_xeeshan_full,"82,608",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_230_cooldown80000_hydro_mark_lock_kevin_window,"83,718",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_exp_230_cooldown80000_hydro_mark_lock_xeeshan_window,pending
round4_candidate_9_vfe71900_5000_harvest.py,"182,073",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_candidate_9_vfe71900_5000_harvest_kevin_full,"182,938",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_candidate_9_vfe71900_5000_harvest_xeeshan_full,"81,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_candidate_9_vfe71900_5000_harvest_kevin_window,"81,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\fast_loop_cooldown_full_20260427_233309\round4_candidate_9_vfe71900_5000_harvest_xeeshan_window,pending
