submission,strategy,product,trade_count,buy_qty,sell_qty,buy_notional,sell_notional,net_pos,cash,avg_buy,avg_sell
534133,,HYDROGEL_PACK,60,219,219,2195417.0,2199479.0,0,4062.0,10024.735159817352,10043.28310502283
534133,,VELVETFRUIT_EXTRACT,81,600,400,3149091.0,2111163.0,200,-1037928.0,5248.485,5277.9075
534133,,VEV_4000,33,0,300,0.0,385517.0,-300,385517.0,0.0,1285.0566666666666
534133,,VEV_4500,32,18,300,13511.0,235970.0,-282,222459.0,750.6111111111111,786.5666666666667
534133,,VEV_5000,154,900,600,228277.0,166968.0,300,-61309.0,253.64111111111112,278.28
534133,,VEV_5100,228,1113,988,179993.0,175948.0,125,-4045.0,161.71877807726864,178.085020242915
534133,,VEV_5200,50,300,300,25755.0,35394.0,0,9639.0,85.85,117.98
534133,,VEV_5300,64,300,300,11369.0,17190.0,0,5821.0,37.89666666666667,57.3
534133,,VEV_5400,41,0,300,0.0,5917.0,-300,5917.0,0.0,19.723333333333333
534133,,VEV_5500,44,0,300,0.0,2028.0,-300,2028.0,0.0,6.76
534133,,VEV_6000,14,0,0,0.0,0.0,0,0.0,0.0,0.0
534133,,VEV_6500,14,0,0,0.0,0.0,0,0.0,0.0,0.0
